address,house,price,total
新城红河南路888号,汇悦悦城,14800,40(万/套)
海洋公园旁,联发龙洲湾1号,25000,100(万/套)
汇龙大道三转盘,汇悦悦峰,18000,40(万/套)
渝南大道(南温泉民宿度假酒店旁),碧桂园天麓,15000,237(万/套)
鸥鹏大道巴川旁（巴南新鸥鹏教育城旁边）,新城金樾府,13000,180(万/套)
童家溪镇香溪路88号,碧桂园长桥江山,15000,360-1150(万/套)
重庆市-渝北区-龙骏大道与龙驿大道交口南侧,桥达天蓬樾府,14000,156-162(万/套)
龙兴（绕城高速下道口）,桥达天蓬樾府,15000,160-208(万/套)
巴南区龙洲湾街道盛龙路118号,中交锦悦,11500,170(万/套)
宏帆路佰富高尔夫旁（北滨路西端双碑大桥桥头）,华美翡丽山,16000,124-201(万/套)
天文大道花街(茶园新区管委会西行300米),中交漫山,18000,220-490(万/套)
茶园新区米兰路中段（茶花小镇旁）,光华安纳溪湖,16000,450(万/套)
龙盛新区两江影视国际城(国际城大桥西侧),两江御园,15000,187-202(万/套)
重庆市渝北区仙桃街道腾芳大道778号,鲁能泰山7号,21000,346(万/套)
西彭镇（铝城大道旁）,尚江宸溪香苑,5500,36-54(万/套)
西彭镇西湖路与三环路交叉路口,西海岸凯悦,5800,40-130(万/套)
中央公园公园东路（重 庆中央公园旁）,公园大道,19500,650(万/套)
解放碑民权路88号(较场口转盘),日月光解放碑1号R3,24000,261-860(万/套)
杨家坪正街,中迪广场,15000,80(万/套)
"金州大道40号, 金开大道1029号, 金州大道42号",力帆红星国际广场,25000,200(万/套)
西部新 城陶家商圈（白彭路与铜陶路交汇处，陶家百可广场旁）,高开投理想城,7000,60(万/套)
朝天门广场,重庆来福士广场,42000,900-1188(万/套)
渝南大道岔路口（巴南海宁皮草城旁）,芸峰兰亭,12000,170(万/套)
金开大道90号,重庆棕榈泉国际中心,17000,193(万/套)
钢城大道南段58号,佳兆业滨江新城,10000,70(万/套)
"悦来街道悦城路36号, 悦山路35号",国博城,10000,80(万/套)
西永商务中心区（地铁1号线微电园站）,金科天宸,15000,170-220(万/套)
蔡家同康路（马鞍石大桥北桥头）,阳光城悦江山,15500,135(万/套)
巴南区渝南大道163号（轻轨三号线 大山村车站旁）,阳光100阿尔勒,15000,185-220(万/套)
兴堰路6号,北大资源燕南,20000,58(万/套)
石坪桥盘龙正街中段(蟠龙小学旁),金茂悦,13000,100(万/套)
学智路651号,鸥鹏泊雅湾,15000,100(万/套)
宏帆路佰富高尔夫旁（北滨路西端双碑大桥桥头）,华美翡丽山,25000,300(万/套)
大学城中路重庆城市管理学院正对面,恒大未来城,20000,60(万/套)
东城大道,华南城巴南华府,8300,82(万/套)
绿岛新区永嘉大道115号,碧桂园翡翠城,8500,75-80(万/套)
涪陵江东东滨大道36号,澳海御江苑,7000,65-87(万/套)
观音桥步行街(协信星光68旁),新华协信中心,19000,93-160(万/套)
江北北滨二路（朝天门大桥北桥头）,阳光城天澜道11号,27000,1000-1200(万/套)
永川凤凰大道888号（凤凰湖公园旁）,协润凤凰世纪城,5400,47-69(万/套)
中央公园东路西南侧,中交中央公园,23800,310-350(万/套)
蔡家同康路（马鞍石大桥北桥头）,阳光城悦江山,14000,180-250(万/套)
御泰路201号,和记黄埔御峰,30000,200(万/套)
渝南大道1388号,和泓文华府,12000,140(万/套)
悦来生态城,融创碧桂园望江府,16800,250(万/套)
悦来生态城轻轨6号线高义口站旁,北京城建龙樾生态城,19700,260(万/套)
悦来生态城轻轨6号线高义口站旁,北京城建龙樾生态城,18000,108-166(万/套)
"礼嘉嘉陵江畔（轨道九曲河站前行1公里）, 金海大道77号",融创玫瑰园,35000,1900(万/套)
黄桷垭福寿路2号（重庆邮电大学与老厂道路之间）,复地山与城,11000,270-1100(万/套)
双福园区成渝高速走马出口处,恒大金碧天下,7800,56-93(万/套)
宝环路3号,爱普新鸿府,16500,95-150(万/套)
双福新区九江大道与创业路交汇处,嘉裕国际社区,6900,58-74(万/套)
"玥湖路1号, 玥湖路8号",和记黄埔玥湖园,18000,684-714(万/套)
南山街道南山路33号,翡翠御园,23000,470-639(万/套)
铁山坪(铁山坪森林公园旁）,财信赖特与山,18000,800-1000(万/套)
重庆市渝北区龙石路,香林豪郡2期,15000,173-186(万/套)
